Timestamp, Field, Value
2015-11-20T16:44:59.565Z, MET.62.B, "8"
2015-11-20T16:45:03.705Z, MET.73.B, "8"
2015-11-20T16:45:07.946Z, MET.36.B, "7"
2015-11-20T16:45:09.913Z, MET.Page, "87"
2015-11-20T16:45:11.872Z, MET.34.B, "7"
2015-11-20T16:45:48.233Z, Circles1, "3"
2015-11-20T16:46:05.868Z, Circles2, "4"
2015-11-20T16:46:10.023Z, Circles3, "5"
2015-11-20T16:46:27.257Z, Circles4, "4"
2015-11-20T16:47:43.756Z, LOCS.1, "2"
2015-11-20T16:47:49.780Z, LOCS.2, "2"
2015-11-20T16:47:51.815Z, LOCS.3, "1"
2015-11-20T16:47:54.150Z, LOCS.4, "0"
2015-11-20T16:47:57.354Z, LOCS.5, "2"
2015-11-20T16:48:00.524Z, LOCS.6, "3"
2015-11-20T16:48:02.343Z, LOCS.7, "3"
2015-11-20T16:48:04.963Z, LOCS.8, "0"
2015-11-20T16:48:18.894Z, LOCS.9, "1"
2015-11-20T16:48:24.032Z, LOCS.10, "4"
2015-11-20T16:48:28.104Z, LOCS.11, "3"
2015-11-20T16:48:40.750Z, LOCS.12, "2"
2015-11-20T16:48:52.012Z, LOCS.13, "2"
2015-11-20T16:48:54.715Z, LOCS.14, "2"
2015-11-20T16:48:58.820Z, LOCS.15, "1"
2015-11-20T16:48:59.730Z, LOCS.Page, "1"
2015-11-20T16:49:03.708Z, LOCS.16, "1"
2015-11-20T16:49:05.393Z, LOCS.17, "2"
